size,mean,std
500,650.8,547.2105262145457
500,696.5,606.0963207279847
500,635.0,590.8003046715531
500,655.7,592.4462085286731
500,654.7,554.1957325710836
500,690.9,630.0890333913137
500,662.3,593.8802151949499
500,717.8,610.2975995364884
500,684.6,607.5136541675422
500,672.2,581.3924320112878
500,670.6,589.2415803386588
500,642.0,557.6791192074525
500,712.0,638.8395729758763
500,714.6,628.3524806985328
500,644.4,564.2150653784424
500,687.8,611.294658900272
500,721.6,629.3674920108282
500,655.3,564.399601346422
500,668.5,569.0191121570523
500,660.0,589.8304841223451
500,680.5,582.6789424717526
500,621.0,511.60433930919703
500,708.0,597.0728598755767
500,692.9,583.9388581007433
500,639.4,544.0566514619594
500,654.6,570.6389751848361
500,627.6,515.8955708280504
500,721.2,609.7955067069615
500,705.3,623.1748631002376
500,692.1,611.6229148748436
500,678.7,596.2560775371602
500,594.7,509.37894538349343
500,667.5,563.9669759835233
500,650.5,591.7809983431371
500,675.8,595.3858916702679
500,673.2,567.5312854812499
500,671.2,579.3708311608377
500,683.4,582.6271878311208
500,644.6,529.8309541731212
500,648.8,565.2774186185045
500,684.8,644.0022981325455
500,617.5,587.663806950879
500,692.3,648.826409758419
500,619.2,528.1773944424353
500,668.1,573.0422235751918
500,748.2,644.2179444877332
500,674.9,564.628187394147
500,610.1,527.0512214197022
500,663.1,598.4257598065111
500,642.5,549.9079468420147
500,718.2,608.1519218090164
500,656.9,581.8052852974095
500,668.7,589.3940193113601
500,618.8,532.9414226723234
500,664.5,585.1963345749868
500,670.4,619.9708380238542
500,695.9,599.0978133827564
500,646.2,630.2186604663497
500,662.1,565.4808484820684
500,709.9,650.1515131105979
500,713.5,576.9252551240932
500,651.8,588.656742083194
500,678.1,567.3582554259698
500,645.9,549.5709144414395
500,663.8,611.3097087401769
500,644.6,562.7795660824938
500,642.8,548.5600787516349
500,687.9,547.127581099692
500,662.7,571.9210697290317
500,683.8,559.2026108665802
500,685.6,610.2480151544944
500,693.1,579.5406715667159
500,620.6,506.9966863797041
500,703.4,622.654350342146
500,648.8,559.1140849594115
500,693.6,643.4975058226722
500,664.8,532.4856429989451
500,706.1,632.1532962818434
500,682.5,602.352679084272
500,696.4,627.6201398935506
500,698.2,617.4032393824963
500,633.8,537.9196594288036
500,706.0,634.3453318185608
500,639.2,579.114289238316
500,694.8,592.0329044909582
500,644.5,544.9997706421535
500,625.2,562.4721859790046
500,659.1,510.59004103096254
500,663.7,575.1150406657785
500,667.3,587.9929506380157
500,653.9,585.627688894574
500,657.1,570.2758893728544
500,655.6,606.8431757876165
500,634.9,534.206879401604
500,708.5,619.3002099143839
500,700.6,598.7316928307704
500,636.1,543.2695371544405
500,682.0,629.6792834451519
500,668.6,623.5335115292522
500,631.4,574.1028130918712
500,673.3,592.7158762847507
500,652.7,547.1541921615881
500,657.5,580.1195997378471
500,656.4,581.1790085679282
500,647.5,554.1468668142047
500,640.5,546.4107886929028
500,633.4,553.6374626052684
500,679.8,608.3600578604745
500,669.4,600.6942982915687
500,664.9,588.9083035583723
500,705.8,584.0345537722918
500,694.3,576.1792342665605
500,670.2,591.8208850657435
500,672.1,547.2810886555463
500,652.8,585.271014146438
500,705.3,613.715658917059
500,642.0,546.393631002412
500,740.1,637.2809349101854
500,712.9,683.2778278270122
500,659.4,578.4562559087765
500,641.4,549.7417939360259
500,647.9,606.795344411936
500,687.4,586.3627205066842
500,665.9,570.9572575946469
500,685.6,573.1427745335363
500,632.3,571.8843501967858
500,630.0,547.8047097278372
500,682.7,569.9348296077368
500,628.6,548.2627472298295
500,619.8,542.0221028703535
500,684.7,568.4020672024337
500,659.3,548.870212345323
500,672.8,552.0870945783826
500,693.2,602.580915728336
500,642.3,546.7135538835671
500,667.1,623.3879931471251
500,691.6,626.9285764742265
500,661.0,595.5996977836708
500,656.8,523.6351401500858
500,689.4,630.2758443729222
500,709.6,652.6851001823161
500,658.8,574.754347525967
500,689.8,621.9774593986506
500,680.5,618.485852708047
500,692.8,571.6276410391645
500,690.7,660.127646747203
500,653.4,596.8236255377295
500,675.1,605.9826647685559
500,650.3,583.9048809523688
500,685.2,615.3624622935656
500,654.3,608.7992362018861
500,721.1,618.1179418201675
500,651.7,576.343742917367
500,679.6,584.3576302231367
500,648.5,609.3871921857236
500,673.1,602.6453268714527
500,669.7,555.523995881366
500,627.7,506.0412137365888
500,665.8,585.2353031046572
500,667.7,600.9756317855159
750,655.9333333333333,607.559156699073
750,642.4,563.7158622332116
750,665.8,583.3584032708079
750,683.1333333333333,591.5619287577215
750,624.3333333333334,521.3168155951064
750,653.0666666666667,575.4278948940712
750,639.0,568.966021246729
750,632.0666666666667,557.5676899613974
750,681.0,602.1868480795641
750,639.2,513.0464826244629
750,676.8,562.1225489161594
750,676.2,599.3526174131553
750,676.2,553.6276365934057
750,661.4,579.8735839244044
750,653.3333333333334,558.422380958675
750,664.0666666666667,574.571256580843
750,667.4,573.9981765360119
750,675.4,587.0418837981949
750,669.1333333333333,579.64694618554
750,657.4666666666667,546.5384239821468
750,680.7333333333333,579.8322707664883
750,707.5333333333333,606.3826478021576
750,654.1333333333333,567.076933836044
750,672.6,588.5908935754952
750,650.6,558.1125692904614
750,643.6,609.643917928053
750,679.8666666666667,610.4053152528153
750,663.8666666666667,611.752440852416
750,636.6666666666666,554.7572041493067
750,656.8,553.8354990428114
750,714.6666666666666,644.2449499651167
750,677.9333333333333,575.9540452347063
750,669.5333333333333,622.4053734415288
750,642.0666666666667,565.214173762674
750,676.4,584.1886453307128
750,665.1333333333333,593.948074797415
750,655.8,558.0767808584526
750,689.0,583.0914736700123
750,679.4666666666667,617.9523030856741
