,random5M,judy5M,karen5M,perfect5M
550,0.25016296686776957,0.2515160229107145,0.25102122292992196,0.247299787291594
300,0.2573359701450009,0.256756649847315,0.24452019219989102,0.24138718780779306
750,0.25521353257537904,0.26464252783750514,0.24579561590571516,0.23434832368140074
1250,0.254497725033917,0.26589977612388543,0.2469796624801671,0.23262283636203052
1000,0.2532777054782187,0.28089242102721257,0.2472285789593662,0.21860129453520236
1100,0.2507328081510841,0.2828399697443408,0.25449363655334795,0.2119335855512272
250,0.2824975254043822,0.26795853919984175,0.2433105075298479,0.20623342786592805
950,0.28064862290116244,0.26958193091935023,0.24326477030673418,0.20650467587275323
400,0.25403019722719977,0.294960378369689,0.25584865528757145,0.19516076911553976
350,0.22883236577368785,0.3019786251160534,0.27718726325518467,0.19200174585507418
2450,0.22875653321968872,0.3019747358200703,0.27703146872391515,0.19223726223632584
350,0.20932631007109917,0.3073922622960183,0.2935360260900497,0.18974540154283273
700,0.2118454763465291,0.317194164196504,0.2927990975872921,0.17816126186967465
700,0.21414928957190255,0.326158142260357,0.29212516603804656,0.1675674021296937
850,0.21329540686154846,0.3277103807861605,0.2907028487779086,0.1682913635743826
1100,0.21276591342579557,0.3272979576770215,0.29577648127631706,0.16415964762086588
250,0.24943816668982063,0.30666996349273207,0.2792572022050156,0.1646346676124317
300,0.25673522891193074,0.30247027862660436,0.2679232176443174,0.17287127481714748
0,0.1886652514531191,0.22244787490493992,0.24468220834774382,0.34420466529419713
0,0.16228451360042226,0.19143493595984806,0.2356750807332828,0.4106054697064468
350,0.15802362135245362,0.22207833659115434,0.2616174246730411,0.35828061738335093
800,0.1608714798593163,0.230781113400049,0.2615801249078891,0.3467672818327455
450,0.16405747522569192,0.24914956713726175,0.26655914204846864,0.3202338155885778
0,0.15274769108294178,0.20178326233369626,0.24415355648022816,0.4013154901031338
350,0.15066316142086672,0.2300651101201868,0.26816105919092553,0.351110669268021
350,0.14905433447396854,0.2518928632362949,0.28668989952906326,0.3123629027606734
700,0.15672590132905298,0.2664391779928843,0.2865382179194388,0.29029670275862396
250,0.20064179090824819,0.2536776857974939,0.27121306100188464,0.2744674622923733
250,0.2388811875555772,0.24256572230211007,0.2578688077106902,0.2606842824316228
0,0.1817458605231284,0.19923167217393659,0.24078558956477053,0.3782368777381645
0,0.15960288147655582,0.1824374222093513,0.23416493363961416,0.42379476267447863
900,0.16042971059163047,0.18796052779747996,0.23440004983768253,0.417209711773207
300,0.18296172374887507,0.20407950149070955,0.2307439483160102,0.3822148264444051
0,0.16007409316518262,0.1843162139929653,0.23027326340137053,0.4253364294404814
0,0.15120391860308433,0.17665688860386924,0.23009084795468052,0.4420483448383658
300,0.1753150456383205,0.1947106266560396,0.22717232218856004,0.40280200551707973
600,0.18324559898274273,0.2202881957564976,0.233562622748696,0.36290358251206367
0,0.1601841099215723,0.1905979453865007,0.23136564970847304,0.41785229498345383
300,0.18275816081682514,0.2062654908747532,0.22822892509897943,0.3827474232094422
750,0.1845441628386161,0.21679748634308338,0.23035813405144834,0.36830021676685204
200,0.24475099885570026,0.2026053895770605,0.2146216195164404,0.3380219920507988
1050,0.24095701058777627,0.21342994918620317,0.22842412455464198,0.3171889156713787
400,0.22260925456577096,0.25050896671041056,0.2441004028972849,0.28278137582653357
700,0.22399291714755518,0.265173585026681,0.24758952026527375,0.26324397756049
450,0.219827045423326,0.2795362858663198,0.2541980482387581,0.24643862047159618
450,0.2161463802556774,0.2922261371611524,0.2600368690982592,0.2315906134849111
300,0.22914176323404947,0.29049870038384074,0.2519926936711488,0.22836684271096103
350,0.20962362818517224,0.29853512997054904,0.27421125621265086,0.2176299856316277
0,0.1704069996512059,0.22092279543551296,0.24711915784106814,0.36155104707221286
350,0.16429250525084682,0.2448368819809912,0.27044989176063233,0.3204207210075297
250,0.20723034852170438,0.2348676656975451,0.2572042844229935,0.300697701357757
300,0.2217518258955722,0.24295787475714556,0.24964494257730913,0.285645356769973
300,0.2337877641982704,0.2496633396757846,0.24337948006814386,0.27316941605780115
300,0.24376359565788808,0.25522107736140615,0.2381864326765687,0.2628288943041371
250,0.27642914142308417,0.24390961770671413,0.22911114499323118,0.2505500958769705
500,0.2876321021916732,0.23874306920858743,0.25153342214993124,0.22209140644980818
0,0.20063943368278234,0.1977501907201923,0.23833029059283725,0.36328008500418807
300,0.21628903155879503,0.21219353671649277,0.23400147742450977,0.3375159543002024
500,0.23499136873127255,0.21098193326150969,0.2558139378761014,0.2982127601311164
350,0.2141383170974365,0.23716458677123303,0.27716046857429544,0.2715366275570352
350,0.1980440623578911,0.25737219488260377,0.29363558736721135,0.25094815539229376
500,0.21902151827929822,0.25052688434303383,0.30801176880334435,0.22243982857432362
900,0.21821797870723542,0.2541817052824365,0.3062206256630364,0.22137969034729146
400,0.20460842831427822,0.28276914756530724,0.305686195414014,0.20693622870640055
800,0.2051438778033891,0.28845931172763006,0.3034613793853263,0.20293543108365447
600,0.2099252605495344,0.30413938966850085,0.30179748410685786,0.184137865675107
250,0.246964691755951,0.2865048324582124,0.28449994048625976,0.1820305352995768
600,0.24733085378656153,0.3023912540003388,0.2848378938068756,0.16543999840622392
600,0.24765835836338307,0.3166004710392704,0.2851401678003565,0.15060100279699018
450,0.24073613022627946,0.32497339016462795,0.28737510445995107,0.14691537514914155
1000,0.24052614619981982,0.3356303130927257,0.28465918785190997,0.1391843528555446
400,0.22226817078409086,0.34724604549664173,0.2886175841464166,0.14186819957285085
350,0.204318632551538,0.34233237576820447,0.30247811745997416,0.15087087422028345
450,0.20244426006539096,0.3477082537664507,0.30269367200475655,0.14715381416340165
300,0.21778493851294906,0.3364843336064066,0.2873482318684451,0.1583824960121991
950,0.21705596619750334,0.33692180293455926,0.2865403681525301,0.15948186271540735
300,0.22989566175242745,0.3275441236418641,0.27395977533991006,0.1686004392657984
